MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,USA,Europe,Japan
19.0,6,232.0,100.0,2901.0,16.0,74,1.0,0.0,0.0
24.2,6,146.0,120.0,2930.0,13.8,81,0.0,0.0,1.0
24.0,4,116.0,75.0,2158.0,15.5,73,0.0,1.0,0.0
15.0,8,318.0,150.0,3399.0,11.0,73,1.0,0.0,0.0
19.2,8,305.0,145.0,3425.0,13.2,78,1.0,0.0,0.0
21.0,6,155.0,107.0,2472.0,14.0,73,1.0,0.0,0.0
28.0,4,97.0,75.0,2155.0,16.4,76,0.0,0.0,1.0
16.0,8,318.0,150.0,4190.0,13.0,76,1.0,0.0,0.0
32.8,4,78.0,52.0,1985.0,19.4,78,0.0,0.0,1.0
31.0,4,76.0,52.0,1649.0,16.5,74,0.0,0.0,1.0
15.0,8,318.0,150.0,3777.0,12.5,73,1.0,0.0,0.0
26.6,4,151.0,84.0,2635.0,16.4,81,1.0,0.0,0.0
26.0,4,79.0,67.0,1963.0,15.5,74,0.0,1.0,0.0
13.0,8,360.0,170.0,4654.0,13.0,73,1.0,0.0,0.0
18.0,6,250.0,105.0,3459.0,16.0,75,1.0,0.0,0.0
14.0,8,351.0,153.0,4129.0,13.0,72,1.0,0.0,0.0
24.5,4,151.0,88.0,2740.0,16.0,77,1.0,0.0,0.0
38.1,4,89.0,60.0,1968.0,18.8,80,0.0,0.0,1.0
14.0,8,351.0,148.0,4657.0,13.5,75,1.0,0.0,0.0
26.0,4,98.0,90.0,2265.0,15.5,73,0.0,1.0,0.0
35.0,4,122.0,88.0,2500.0,15.1,80,0.0,1.0,0.0
16.0,6,258.0,110.0,3632.0,18.0,74,1.0,0.0,0.0
